Rater 1,Rater 2,Cohen's Kappa
Our Evaluation,AQUSA Evaluation,0.6089
Our Evaluation,OpenAIs GPT-5 Evaluation,0.2599
Our Evaluation,Claude 4.5 Sonnet Evaluation,0.2081
Our Evaluation,Gemini 2.5 Flash Evaluation,0.3185
Our Evaluation,DeepSeek-V3.1 Evaluation,0.2558
AQUSA Evaluation,OpenAIs GPT-5 Evaluation,0.2793
AQUSA Evaluation,Claude 4.5 Sonnet Evaluation,0.1936
AQUSA Evaluation,Gemini 2.5 Flash Evaluation,0.2032
AQUSA Evaluation,DeepSeek-V3.1 Evaluation,0.3125
OpenAIs GPT-5 Evaluation,Claude 4.5 Sonnet Evaluation,0.6927
OpenAIs GPT-5 Evaluation,Gemini 2.5 Flash Evaluation,0.503
OpenAIs GPT-5 Evaluation,DeepSeek-V3.1 Evaluation,0.4896
Claude 4.5 Sonnet Evaluation,Gemini 2.5 Flash Evaluation,0.4298
Claude 4.5 Sonnet Evaluation,DeepSeek-V3.1 Evaluation,0.5165
Gemini 2.5 Flash Evaluation,DeepSeek-V3.1 Evaluation,0.5069
